1,65,0000000032,0,79923,00000000000000000000,1725633037742
3,65,0000000029,0,67172,00000000000000087497,1725633025750
10,65,0000000029,0,67172,00000000000000087497,1725633025750
16,65,0000000028,0,66630,00000000000000086655,1725633025750
17,65,0000000016,0,57299,00000000000000072563,1725633025750
40,65,0000000002,0,39840,00000000000000050000,1725633025750
41,65,0000000002,0,39840,00000000000000050000,1725633025750
42,65,0000000007,0,61054,00000000000000000000,1725633025750
46,65,0000000002,0,39840,00000000000000050000,1725633025750
58,65,0000000029,0,78214,00000000000000000000,1725633037742
59,65,0000000030,0,67682,00000000000000088294,1725633025750
60,65,0000000030,0,67682,00000000000000088294,1725633025750
62,65,0000000000,0,50000,00000000000000000000,1725633037742
64,65,0000000030,0,67682,00000000000000088294,1725633025750
65,65,0000000133,0,98433,00000000000000000000,1725633025750
71,65,0000000016,0,57299,00000000000000072563,1725633025750
74,65,0000000016,0,57299,00000000000000072563,1725633025750
