1,6,0000000037,0,93672,00000000000000000000,1722553927229
2,6,0000000061,0,98895,00000000000000000000,1722553927229
3,6,0000000007,0,61054,00000000000000000000,1722553890764
4,6,0000000062,0,98974,00000000000000000000,1722553927229
5,6,0000000017,0,00000,00000000000000076800,0
6,6,0000000034,0,92201,00000000000000000000,1722553927229
7,6,0000000031,0,90424,00000000000000000000,1722553927229
8,6,0000000050,0,97514,00000000000000000000,1722553927229
9,6,0000000013,0,36306,00000000000000000000,1722553890764
10,6,0000000000,0,00000,00000000000000050000,0
11,6,0000000001,0,00000,00000000000000050937,0
12,6,0000000007,0,00000,00000000000000061054,0
13,6,0000000007,0,00000,00000000000000061054,0
14,6,0000000006,0,00000,00000000000000059275,0
15,6,0000000005,0,00000,00000000000000057487,0
16,6,0000000000,0,00000,00000000000000050000,0
17,6,0000000000,0,00000,00000000000000050000,0
18,6,0000000005,0,00000,00000000000000057487,0
