1,62,0000000152,0,49999,00000000000000099999,1725633037749
3,62,0000000039,0,47453,00000000000000094102,1725633037749
10,62,0000000039,0,47453,00000000000000094102,1725633037749
16,62,0000000022,0,41945,00000000000000081704,1725633037749
17,62,0000000038,0,47266,00000000000000093672,1725633037749
28,62,0000000061,0,49490,00000000000000098810,1725633037749
40,62,0000000034,0,46379,00000000000000091645,1725633037749
41,62,0000000034,0,46379,00000000000000091645,1725633037749
42,62,0000000001,0,50937,00000000000000000000,1725633037749
46,62,0000000024,0,42907,00000000000000083837,1725633037749
58,62,0000000159,0,50000,00000000000000099999,1725633037749
62,62,0000000149,0,49999,00000000000000099998,1725633037749
65,62,0000000001,0,50937,00000000000000000000,1725633037749
71,62,0000000038,0,47266,00000000000000093672,1725633037749
74,62,0000000038,0,47266,00000000000000093672,1725633037749
