1,58,0000000859,1,00000,00000000000000000000,1725633037745
3,58,0000000361,1,00000,00000000000000000000,1725633037745
10,58,0000000361,1,00000,00000000000000000000,1725633037745
16,58,0000000315,1,00000,00000000000000000000,1725633037745
17,58,0000000360,1,00000,00000000000000000000,1725633037745
28,58,0000000382,1,00000,00000000000000000000,1725633037745
40,58,0000000328,1,00000,00000000000000000000,1725633037745
41,58,0000000328,1,00000,00000000000000000000,1725633037745
42,58,0000000001,0,50937,00000000000000000000,1725633037745
46,58,0000000316,1,00000,00000000000000000000,1725633037745
58,58,0000000866,1,00000,00000000000000000000,1725633037745
62,58,0000000481,1,00000,00000000000000000000,1725633037745
65,58,0000000308,1,00000,00000000000000000000,1725633037745
71,58,0000000360,1,00000,00000000000000000000,1725633037745
74,58,0000000360,1,00000,00000000000000000000,1725633037745
