64,0000000002,0,00000,0,00000,0,00000,00000000000000000000,0
1,0000000186,0,00000,0,00000,1,00000,00000000000000000001,1725489926228
65,0000000054,0,00000,0,00000,0,00000,00000000000000000000,0
3,0000000022,0,00000,0,00000,0,00000,00000000000000000000,0
71,0000000042,0,00000,0,00000,0,00000,00000000000000000000,0
40,0000000012,0,00000,0,00000,0,00000,00000000000000000000,0
41,0000000028,0,00000,0,00000,0,00000,00000000000000000000,0
10,0000000022,0,00000,0,00000,0,00000,00000000000000000000,0
74,0000000042,0,00000,0,00000,0,00000,00000000000000000000,0
46,0000000004,0,00000,0,00000,0,00000,00000000000000000000,0
16,0000000002,0,00000,0,00000,0,00000,00000000000000000000,0
17,0000000042,0,00000,0,00000,0,00000,00000000000000000000,0
58,0000000544,0,00000,0,00000,1,00000,00000000000000000001,1725489926228
59,0000000002,0,00000,0,00000,0,00000,00000000000000000000,0
28,0000000014,0,00000,0,00000,0,00000,00000000000000000000,0
60,0000000002,0,00000,0,00000,0,00000,00000000000000000000,0
62,0000000054,0,00000,0,00000,0,00000,00000000000000000000,0
